,Date_Time,Site_ID,NOx,NO2,NO,PM10,O3,Temperature,ObjectId,ObjectId2,NVPM10,VPM10,NVPM2_5,PM2_5,VPM2_5,CO,RH,Pressure,SO2
16648,2020-11-16,501,189.5,73.0,76.0,0.0,0.0,0.0,0,16649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16649,2020-11-16,501,116.75,49.75,43.75,15.94999981,0.0,0.0,0,16650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16650,2020-11-17,501,35.75,19.5,10.5,7.0,0.0,0.0,0,16651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16651,2020-11-17,501,191.75,76.0,75.75,22.89999962,0.0,0.0,0,16652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16652,2020-11-18,501,40.25,21.25,12.0,17.60000038,0.0,0.0,0,16653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16653,2020-11-18,501,96.5,41.0,36.5,21.25,0.0,0.0,0,16654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16654,2020-11-18,501,185.25,81.0,68.25,0.0,0.0,0.0,0,16655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16655,2020-11-18,501,75.0,33.75,26.75,0.0,0.0,0.0,0,16656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16656,2020-11-19,501,4.25,2.75,0.75,0.0,0.0,0.0,0,16657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16657,2020-11-19,501,5.0,3.75,0.5,0.0,0.0,0.0,0,16658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16658,2020-11-19,501,213.0,68.0,94.5,0.0,0.0,0.0,0,16659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16659,2020-11-19,501,328.25,103.5,146.5,9.899999619,0.0,0.0,0,16660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16660,2020-11-20,501,41.0,27.75,8.75,6.574999809,0.0,0.0,0,16661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16661,2020-11-20,501,40.5,25.75,9.25,4.525000095,0.0,0.0,0,16662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
